id,platform,action,price,harm_score,removal_method,status,outcome,days_to_resolve
CASE-001,google,review_removal,contact,91,policy_flag,resolved,removed,18
CASE-002,airbnb,review_removal,$1000,84,trust_safety_escalation,resolved,removed,21
CASE-003,glassdoor,review_removal,contact,62,employer_response,resolved,suppressed,45
CASE-004,yelp,page_deindexing,contact,77,noindex_request,resolved,deindexed,30
CASE-005,glassdoor,page_deindexing,contact,68,legal_suppression,resolved,deindexed,55
CASE-006,google,review_removal,contact,55,dmca,resolved,suppressed,30
CASE-007,airbnb,review_removal,$1000,43,trust_safety_escalation,resolved,rejected,14
CASE-008,glassdoor,review_removal,contact,80,defamation,resolved,removed,60
CASE-009,yelp,page_deindexing,contact,88,noindex_request,resolved,deindexed,25
CASE-010,google,review_removal,contact,67,defamation,resolved,removed,25
CASE-011,airbnb,review_removal,$1000,72,trust_safety_escalation,resolved,removed,19
CASE-012,yelp,page_deindexing,contact,82,legal_suppression,resolved,deindexed,35
CASE-013,glassdoor,review_removal,contact,49,employer_response,resolved,rejected,35
CASE-014,google,review_removal,contact,77,policy_flag,resolved,removed,14
CASE-015,glassdoor,page_deindexing,contact,61,noindex_request,resolved,deindexed,48
CASE-016,google,review_removal,contact,93,defamation,resolved,removed,22
CASE-017,airbnb,review_removal,$1000,51,trust_safety_escalation,resolved,rejected,10
CASE-018,glassdoor,review_removal,contact,85,defamation,resolved,removed,55
CASE-019,yelp,page_deindexing,contact,73,legal_suppression,resolved,deindexed,40
CASE-020,google,review_removal,contact,89,policy_flag,resolved,removed,18
CASE-021,airbnb,review_removal,$1000,60,trust_safety_escalation,resolved,suppressed,24
CASE-022,glassdoor,page_deindexing,contact,78,noindex_request,resolved,deindexed,52
CASE-023,glassdoor,review_removal,contact,44,employer_response,resolved,rejected,40
CASE-024,google,review_removal,contact,83,policy_flag,resolved,removed,15
CASE-025,yelp,page_deindexing,contact,70,legal_suppression,resolved,deindexed,38
